# Z	N	A	e	B/A_MeV	name
60	79	139	59	8.4254	Hexnil-ium-139
102	151	253	106	7.5191	Unnilbi-ium-253
61	79	140	60	8.3938	Hexun-ium-140
81	86	167	81	7.5366	Octun-ium-167
62	79	141	61	8.3715	Hexbi-ium-141
16	16	32	17	8.5755	S-32
44	49	93	45	8.6101	Quadquad-ium-93
85	137	222	85	7.7800	Octpent-ium-222
101	139	240	97	7.5238	Unnilun-ium-240
89	150	239	89	7.6334	Octenn-ium-239
90	151	241	90	7.6240	Ennnil-ium-241
123	200	323	118	7.0446	Unbitri-ium-323
63	79	142	62	8.3319	Hextri-ium-142
45	50	95	46	8.6015	Quadpent-ium-95
46	50	96	47	8.5507	Quadhex-ium-96
89	122	211	88	7.7974	Octenn-ium-211
47	51	98	48	8.4860	Quadsept-ium-98
124	201	325	119	7.0276	Unbiquad-ium-325
80	86	166	80	7.6101	Octnil-ium-166
80	87	167	80	7.6399	Octnil-ium-167
102	140	242	98	7.5052	Unnilbi-ium-242
86	137	223	86	7.7817	Octhex-ium-223
81	88	169	81	7.6089	Octun-ium-169
89	123	212	88	7.7964	Octenn-ium-212
53	63	116	53	8.5015	Penttri-ium-116
110	157	267	112	7.3429	Ununnil-ium-267
90	124	214	89	7.7802	Ennnil-ium-214
54	64	118	54	8.4936	Pentquad-ium-118
125	201	326	120	7.0119	Unbipent-ium-326
111	158	269	112	7.3197	Ununun-ium-269
91	125	216	90	7.7495	Ennun-ium-216
90	152	242	91	7.6146	Ennnil-ium-242
64	79	143	63	8.3017	Hexquad-ium-143
103	151	254	106	7.4965	Unniltri-ium-254
51	57	108	49	8.4540	Pentun-ium-108
46	51	97	47	8.5607	Quadhex-ium-97
91	152	243	92	7.6140	Ennun-ium-243
50	57	107	48	8.5340	Pentnil-ium-107
46	52	98	47	8.6045	Quadhex-ium-98
50	58	108	48	8.5691	Pentnil-ium-108
103	152	255	105	7.4985	Unniltri-ium-255
125	202	327	120	7.0104	Unbipent-ium-327
65	80	145	65	8.2755	Hexpent-ium-145
101	140	241	96	7.5309	Unnilun-ium-241
103	146	249	106	7.4954	Unniltri-ium-249
91	153	244	92	7.5992	Ennun-ium-244
92	153	245	93	7.6034	Ennbi-ium-245
82	88	170	81	7.5565	Octbi-ium-170
65	81	146	65	8.2813	Hexpent-ium-146
45	52	97	45	8.6439	Quadpent-ium-97
65	82	147	65	8.3080	Hexpent-ium-147
110	158	268	111	7.3477	Ununnil-ium-268
110	159	269	111	7.3469	Ununnil-ium-269
103	147	250	105	7.4945	Unniltri-ium-250
87	137	224	87	7.7745	Octsept-ium-224
103	148	251	105	7.4986	Unniltri-ium-251
88	137	225	88	7.7717	Octoct-ium-225
102	141	243	97	7.5067	Unnilbi-ium-243
89	138	227	89	7.7564	Octenn-ium-227
82	89	171	81	7.5866	Octbi-ium-171
103	141	244	98	7.4745	Unniltri-ium-244
51	58	109	49	8.4939	Pentun-ium-109
110	160	270	110	7.3507	Ununnil-ium-270
66	82	148	66	8.2780	Hexhex-ium-148
102	148	250	103	7.5240	Unnilbi-ium-250
126	202	328	122	7.0025	Unbihex-ium-328
104	153	257	106	7.4776	Unnilquad-ium-257
104	148	252	105	7.4773	Unnilquad-ium-252
127	203	330	123	6.9761	Unbisept-ium-330
82	90	172	79	7.6247	Octbi-ium-172
91	126	217	92	7.7627	Ennun-ium-217
55	65	120	54	8.4505	Pentpent-ium-120
105	149	254	106	7.4487	Unnilpent-ium-254
91	127	218	92	7.7544	Ennun-ium-218
104	154	258	106	7.4794	Unnilquad-ium-258
90	138	228	89	7.7504	Ennnil-ium-228
56	66	122	55	8.4410	Penthex-ium-122
46	53	99	46	8.6201	Quadhex-ium-99
47	53	100	47	8.5568	Quadsept-ium-100
115	189	304	115	7.1862	Ununpent-ium-304
105	154	259	106	7.4564	Unnilpent-ium-259
67	82	149	67	8.2321	Hexsept-ium-149
57	67	124	56	8.3979	Pentsept-ium-124
105	155	260	105	7.4533	Unnilpent-ium-260
105	156	261	105	7.4549	Unnilpent-ium-261
68	82	150	68	8.1951	Hexoct-ium-150
90	127	217	90	7.7815	Ennnil-ium-217
69	82	151	69	8.1428	Hexenn-ium-151
104	141	245	101	7.4468	Unnilquad-ium-245
127	204	331	123	6.9752	Unbisept-ium-331
84	131	215	84	7.8475	Octquad-ium-215
70	83	153	70	8.1043	Septnil-ium-153
104	149	253	104	7.4762	Unnilquad-ium-253
93	154	247	95	7.5922	Enntri-ium-247
116	189	305	117	7.1781	Ununhex-ium-305
57	68	125	56	8.4252	Pentsept-ium-125
127	205	332	123	6.9703	Unbisept-ium-332
110	165	275	110	7.3478	Ununnil-ium-275
90	139	229	90	7.7405	Ennnil-ium-229
85	132	217	84	7.8331	Octpent-ium-217
91	139	230	91	7.7271	Ennun-ium-230
104	142	246	101	7.4554	Unnilquad-ium-246
57	69	126	56	8.4337	Pentsept-ium-126
110	166	276	110	7.3489	Ununnil-ium-276
91	140	231	91	7.7242	Ennun-ium-231
91	128	219	92	7.7592	Ennun-ium-219
126	205	331	122	6.9905	Unbihex-ium-331
86	133	219	85	7.8181	Octhex-ium-219
117	190	307	118	7.1620	Ununsept-ium-307
51	59	110	51	8.5100	Pentun-ium-110
105	142	247	101	7.4213	Unnilpent-ium-247
92	129	221	91	7.7366	Ennbi-ium-221
92	130	222	91	7.7411	Ennbi-ium-222
111	166	277	112	7.3272	Ununun-ium-277
50	59	109	51	8.5803	Pentnil-ium-109
92	140	232	91	7.7163	Ennbi-ium-232
112	166	278	114	7.3091	Ununbi-ium-278
112	167	279	114	7.3064	Ununbi-ium-279
94	155	249	94	7.5805	Ennquad-ium-249
111	167	278	113	7.3238	Ununun-ium-278
87	134	221	86	7.8026	Octsept-ium-221
50	60	110	50	8.6074	Pentnil-ium-110
82	91	173	80	7.6510	Octbi-ium-173
93	132	225	92	7.7161	Enntri-ium-225
51	61	112	51	8.5506	Pentun-ium-112
118	191	309	120	7.1455	Ununoct-ium-309
92	141	233	93	7.7075	Ennbi-ium-233
95	156	251	95	7.5683	Ennpent-ium-251
94	132	226	93	7.6959	Ennquad-ium-226
88	134	222	87	7.7966	Octoct-ium-222
111	168	279	113	7.3248	Ununun-ium-279
96	156	252	96	7.5674	Ennhex-ium-252
97	156	253	98	7.5591	Ennsept-ium-253
98	156	254	99	7.5547	Ennoct-ium-254
92	142	234	93	7.7044	Ennbi-ium-234
119	191	310	120	7.1308	Ununenn-ium-310
70	84	154	72	8.1289	Septnil-ium-154
82	92	174	81	7.6853	Octbi-ium-174
104	143	247	101	7.4577	Unnilquad-ium-247
126	206	332	121	6.9885	Unbihex-ium-332
105	144	249	101	7.4329	Unnilpent-ium-249
52	62	114	51	8.5446	Pentbi-ium-114
99	157	256	99	7.5337	Ennenn-ium-256
71	85	156	73	8.0890	Septun-ium-156
104	150	254	104	7.4801	Unnilquad-ium-254
72	86	158	74	8.0718	Septbi-ium-158
127	206	333	122	6.9688	Unbisept-ium-333
83	114	197	83	7.9324	Octtri-ium-197
106	145	251	102	7.4080	Unnilhex-ium-251
105	151	256	105	7.4523	Unnilpent-ium-256
128	207	335	123	6.9514	Unbioct-ium-335
84	115	199	84	7.9093	Octquad-ium-199
107	146	253	103	7.3828	Unnilsept-ium-253
93	143	236	92	7.6816	Enntri-ium-236
107	147	254	103	7.3856	Unnilsept-ium-254
110	179	289	110	7.2951	Ununnil-ium-289
94	133	227	94	7.6939	Ennquad-ium-227
112	168	280	115	7.3082	Ununbi-ium-280
94	134	228	94	7.6977	Ennquad-ium-228
106	152	258	106	7.4352	Unnilhex-ium-258
