# Z	N	A	e	B/A_MeV	name
126	198	324	126	7.0124	Unbihex-ium-324
116	164	280	115	7.2072	Ununhex-ium-280
104	137	241	108	7.4170	Unnilquad-ium-241
82	106	188	80	7.9340	Octbi-ium-188
104	138	242	108	7.4285	Unnilquad-ium-242
107	152	259	104	7.4075	Unnilsept-ium-259
113	168	281	113	7.2854	Ununtri-ium-281
100	141	241	102	7.5604	Unnilnil-ium-241
107	154	261	105	7.4114	Unnilsept-ium-261
126	199	325	127	7.0084	Unbihex-ium-325
121	186	307	120	7.1141	Unbiun-ium-307
122	192	314	118	7.0875	Unbibi-ium-314
124	196	320	131	7.0453	Unbiquad-ium-320
120	181	301	117	7.1374	Unbinil-ium-301
81	106	187	79	7.9552	Octun-ium-187
123	186	309	128	7.0746	Unbitri-ium-309
103	138	241	107	7.4592	Unniltri-ium-241
119	181	300	115	7.1553	Ununenn-ium-300
67	85	152	63	8.2505	Hexsept-ium-152
114	169	283	114	7.2641	Ununquad-ium-283
103	139	242	108	7.4630	Unniltri-ium-242
115	171	286	116	7.2407	Ununpent-ium-286
131	220	351	125	6.8625	Untriun-ium-351
67	86	153	63	8.2644	Hexsept-ium-153
104	139	243	110	7.4332	Unnilquad-ium-243
101	144	245	105	7.5411	Unnilun-ium-245
66	86	152	62	8.3002	Hexhex-ium-152
125	198	323	131	7.0224	Unbipent-ium-323
66	87	153	64	8.2981	Hexhex-ium-153
116	172	288	117	7.2239	Ununhex-ium-288
125	199	324	131	7.0179	Unbipent-ium-324
114	165	279	114	7.2600	Ununquad-ium-279
113	165	278	113	7.2815	Ununtri-ium-278
82	107	189	77	7.9376	Octbi-ium-189
126	200	326	133	7.0080	Unbihex-ium-326
123	188	311	122	7.0740	Unbitri-ium-311
108	155	263	104	7.3888	Unniloct-ium-263
108	156	264	104	7.3930	Unniloct-ium-264
67	88	155	64	8.2752	Hexsept-ium-155
83	108	191	79	7.9038	Octtri-ium-191
82	108	190	78	7.9487	Octbi-ium-190
67	89	156	64	8.2725	Hexsept-ium-156
105	140	245	112	7.4072	Unnilpent-ium-245
68	90	158	65	8.2612	Hexoct-ium-158
82	109	191	79	7.9501	Octbi-ium-191
69	91	160	66	8.2270	Hexenn-ium-160
82	110	192	79	7.9590	Octbi-ium-192
91	124	215	92	7.7494	Ennun-ium-215
82	111	193	79	7.9585	Octbi-ium-193
70	91	161	67	8.2039	Septnil-ium-161
83	111	194	79	7.9185	Octtri-ium-194
114	166	280	115	7.2641	Ununquad-ium-280
101	147	248	106	7.5398	Unnilun-ium-248
102	147	249	107	7.5208	Unnilbi-ium-249
104	140	244	112	7.4433	Unnilquad-ium-244
79	135	214	79	7.7749	Septenn-ium-214
80	136	216	80	7.7766	Octnil-ium-216
103	140	243	111	7.4720	Unniltri-ium-243
125	200	325	126	7.0169	Unbipent-ium-325
112	162	274	112	7.3059	Ununbi-ium-274
109	158	267	108	7.3693	Unnilenn-ium-267
113	163	276	114	7.2784	Ununtri-ium-276
126	201	327	128	7.0035	Unbihex-ium-327
80	137	217	80	7.7567	Octnil-ium-217
81	138	219	81	7.7512	Octun-ium-219
115	167	282	116	7.2369	Ununpent-ium-282
82	138	220	82	7.7703	Octbi-ium-220
83	138	221	83	7.7664	Octtri-ium-221
115	168	283	116	7.2408	Ununpent-ium-283
103	142	245	111	7.4823	Unniltri-ium-245
102	142	244	111	7.5134	Unnilbi-ium-244
103	143	246	112	7.4836	Unniltri-ium-246
116	169	285	117	7.2185	Ununhex-ium-285
111	160	271	109	7.3243	Ununun-ium-271
102	143	245	111	7.5137	Unnilbi-ium-245
116	170	286	117	7.2222	Ununhex-ium-286
115	166	281	115	7.2373	Ununpent-ium-281
103	144	247	112	7.4900	Unniltri-ium-247
122	189	311	128	7.0916	Unbibi-ium-311
83	139	222	85	7.7490	Octtri-ium-222
84	139	223	86	7.7574	Octquad-ium-223
85	139	224	87	7.7567	Octpent-ium-224
85	140	225	87	7.7477	Octpent-ium-225
85	141	226	87	7.7316	Octpent-ium-226
101	141	242	102	7.5314	Unnilun-ium-242
126	203	329	129	6.9975	Unbihex-ium-329
119	177	296	117	7.1559	Ununenn-ium-296
101	142	243	102	7.5372	Unnilun-ium-243
86	142	228	88	7.7284	Octhex-ium-228
124	191	315	128	7.0521	Unbiquad-ium-315
114	181	295	114	7.2396	Ununquad-ium-295
127	215	342	127	6.9267	Unbisept-ium-342
87	142	229	90	7.7265	Octsept-ium-229
128	216	344	128	6.9152	Unbioct-ium-344
115	182	297	115	7.2220	Ununpent-ium-297
115	183	298	115	7.2159	Ununpent-ium-298
88	143	231	91	7.7149	Octoct-ium-231
89	143	232	92	7.7098	Octenn-ium-232
119	180	299	118	7.1582	Ununenn-ium-299
90	143	233	93	7.7089	Ennnil-ium-233
104	145	249	114	7.4662	Unnilquad-ium-249
104	146	250	114	7.4723	Unnilquad-ium-250
122	191	313	120	7.0878	Unbibi-ium-313
120	182	302	119	7.1392	Unbinil-ium-302
91	144	235	95	7.6946	Ennun-ium-235
114	171	285	115	7.2637	Ununquad-ium-285
105	146	251	115	7.4421	Unnilpent-ium-251
121	194	315	121	7.0943	Unbiun-ium-315
93	144	237	97	7.6785	Enntri-ium-237
94	146	240	98	7.6587	Ennquad-ium-240
94	147	241	98	7.6491	Ennquad-ium-241
122	195	317	122	7.0767	Unbibi-ium-317
122	196	318	121	7.0752	Unbibi-ium-318
120	183	303	121	7.1363	Unbinil-ium-303
129	217	346	129	6.8965	Unbienn-ium-346
116	183	299	115	7.2042	Ununhex-ium-299
117	183	300	116	7.1869	Ununsept-ium-300
118	184	302	117	7.1774	Ununoct-ium-302
117	173	290	117	7.1977	Ununsept-ium-290
105	147	252	114	7.4430	Unnilpent-ium-252
122	197	319	121	7.0695	Unbibi-ium-319
120	184	304	121	7.1423	Unbinil-ium-304
105	148	253	114	7.4489	Unnilpent-ium-253
94	148	242	98	7.6450	Ennquad-ium-242
126	204	330	124	6.9960	Unbihex-ium-330
115	190	305	115	7.1824	Ununpent-ium-305
120	187	307	119	7.1301	Unbinil-ium-307
123	197	320	120	7.0537	Unbitri-ium-320
106	151	257	113	7.4306	Unnilhex-ium-257
116	191	307	116	7.1672	Ununhex-ium-307
124	197	321	122	7.0407	Unbiquad-ium-321
117	191	308	119	7.1549	Ununsept-ium-308
118	192	310	120	7.1428	Ununoct-ium-310
121	185	306	124	7.1131	Unbiun-ium-306
120	177	297	118	7.1354	Unbinil-ium-297
117	170	287	116	7.1960	Ununsept-ium-287
119	192	311	121	7.1287	Ununenn-ium-311
120	193	313	121	7.1117	Unbinil-ium-313
118	171	289	117	7.1733	Ununoct-ium-289
120	178	298	119	7.1386	Unbinil-ium-298
119	171	290	118	7.1454	Ununenn-ium-290
121	179	300	120	7.1125	Unbiun-ium-300
119	172	291	118	7.1504	Ununenn-ium-291
118	172	290	117	7.1776	Ununoct-ium-290
119	173	292	118	7.1505	Ununenn-ium-292
119	174	293	118	7.1546	Ununenn-ium-293
126	212	338	127	6.9604	Unbihex-ium-338
120	175	295	118	7.1321	Unbinil-ium-295
127	207	334	136	6.9634	Unbisept-ium-334
127	208	335	135	6.9614	Unbisept-ium-335
126	213	339	128	6.9531	Unbihex-ium-339
107	155	262	114	7.4100	Unnilsept-ium-262
124	193	317	121	7.0495	Unbiquad-ium-317
129	211	340	129	6.9221	Unbienn-ium-340
121	178	299	119	7.1133	Unbiun-ium-299
128	215	343	130	6.9186	Unbioct-ium-343
129	212	341	123	6.9202	Unbienn-ium-341
125	194	319	122	7.0300	Unbipent-ium-319
127	209	336	137	6.9555	Unbisept-ium-336
121	184	305	120	7.1209	Unbiun-ium-305
111	159	270	118	7.3197	Ununun-ium-270
123	196	319	129	7.0589	Unbitri-ium-319
129	214	343	131	6.9120	Unbienn-ium-343
110	162	272	116	7.3518	Ununnil-ium-272
124	198	322	130	7.0398	Unbiquad-ium-322
123	198	321	120	7.0522	Unbitri-ium-321
111	163	274	118	7.3253	Ununun-ium-274
120	188	308	114	7.1299	Unbinil-ium-308
120	189	309	114	7.1252	Unbinil-ium-309
124	199	323	121	7.0347	Unbiquad-ium-323
120	190	310	114	7.1243	Unbinil-ium-310
112	164	276	117	7.3084	Ununbi-ium-276
121	191	312	116	7.1019	Unbiun-ium-312
114	167	281	120	7.2629	Ununquad-ium-281
114	168	282	119	7.2661	Ununquad-ium-282
115	169	284	120	7.2396	Ununpent-ium-284
115	172	287	120	7.2429	Ununpent-ium-287
130	221	351	126	6.8679	Untrinil-ium-351
116	173	289	121	7.2218	Ununhex-ium-289
116	174	290	121	7.2239	Ununhex-ium-290
115	174	289	120	7.2416	Ununpent-ium-289
115	175	290	120	7.2381	Ununpent-ium-290
126	207	333	126	6.9825	Unbihex-ium-333
115	176	291	119	7.2388	Ununpent-ium-291
116	176	292	120	7.2225	Ununhex-ium-292
129	219	348	123	6.8863	Unbienn-ium-348
