exre: stochastic chemical discovery
seeds: 27   iters: 800000   T: 350.0   rng: 4242
[novel] N                 E=1710.0  atoms=1 bonds=0  parent=H2
[novel] CH2N3             E=7063.4  atoms=6 bonds=5  parent=hydrazine
[novel] H2N2P             E=3676.8  atoms=5 bonds=4  parent=hydrazine
[novel] HO2S              E=1608.4  atoms=4 bonds=3  parent=hydrogen_peroxide
[novel] FK                E=-947.4  atoms=2 bonds=1  parent=NO
[novel] CH2NOBr           E=3185.3  atoms=6 bonds=5  parent=methylamine
[novel] CCl2              E=-236.6  atoms=3 bonds=2  parent=chloromethane
[novel] C2H4P             E=5793.4  atoms=7 bonds=7  parent=ethane
[novel] CH2NOKBr          E=2235.8  atoms=7 bonds=6  parent=methylamine
[novel] MgClCa            E=-239.0  atoms=3 bonds=2  parent=HCl
[novel] C3HCa2            E=2934.8  atoms=6 bonds=5  parent=ethyne
[novel] HN3               E=3089.0  atoms=4 bonds=3  parent=hydrazine
[novel] C2H5F             E=5823.0  atoms=8 bonds=7  parent=ethane
[novel] CH3NP             E=6656.0  atoms=6 bonds=5  parent=methylamine
[novel] CHN2O             E=1456.0  atoms=5 bonds=4  parent=methylamine
[novel] H2NP              E=5105.0  atoms=4 bonds=3  parent=phosphine
[novel] CH2O2S            E=1244.4  atoms=6 bonds=5  parent=formic_acid
[novel] CH2N              E=3121.0  atoms=4 bonds=3  parent=ethene
[novel] N2P               E=1408.4  atoms=3 bonds=2  parent=hydrazine
[novel] H2FP              E=3268.2  atoms=4 bonds=3  parent=phosphine
[novel] CH2NF             E=3554.0  atoms=5 bonds=4  parent=methylamine
[novel] H2PS              E=3618.6  atoms=4 bonds=3  parent=phosphine
[novel] C3H4N             E=8409.0  atoms=8 bonds=7  parent=ethane
[novel] CHNO2ClCa         E=3320.3  atoms=7 bonds=5  parent=methylamine
[novel] H3Si              E=5733.6  atoms=4 bonds=3  parent=silane
[novel] H2OP              E=4493.0  atoms=4 bonds=3  parent=phosphine
[novel] CHNO2FCa          E=4017.9  atoms=7 bonds=4  parent=methylamine
[novel] CHO               E=-762.0  atoms=3 bonds=2  parent=formic_acid
[novel] H2NS              E=1473.8  atoms=4 bonds=3  parent=ammonia
[novel] CHNF              E=2057.0  atoms=4 bonds=3  parent=methylamine
[novel] O                 E=810.0  atoms=1 bonds=0  parent=HCl
[novel] OMgClCa           E=-645.4  atoms=4 bonds=3  parent=HCl
[novel] COS               E=249.1  atoms=3 bonds=2  parent=CO
[novel] HNCl              E=4279.0  atoms=3 bonds=1  parent=phosphine
[novel] CHNNaSK           E=3668.4  atoms=6 bonds=5  parent=methylamine
[novel] HN2O              E=148.0  atoms=4 bonds=3  parent=hydrazine
[novel] HNF               E=4979.0  atoms=3 bonds=1  parent=hydrazine
[novel] CH                E=1387.0  atoms=2 bonds=1  parent=HCl
[novel] CH2FClCa          E=922.9  atoms=6 bonds=5  parent=chloromethane
